Book Name,Author,Year of Publication,Standalone/Series,Brief Description,Subgenre
The Hunger Games,Suzanne Collins,2008,Series (The Hunger Games #1),"In a dystopian future, Katniss Everdeen volunteers to participate in a brutal televised survival competition.","Dystopian, Science Fiction"
Catching Fire,Suzanne Collins,2009,Series (The Hunger Games #2),Katniss and Peeta's victory in the Hunger Games leads them to a new challenge as rebellion brews.,"Dystopian, Science Fiction"
Mockingjay,Suzanne Collins,2010,Series (The Hunger Games #3),Katniss becomes the symbol of rebellion as she fights against the oppressive Capitol.,"Dystopian, Science Fiction"
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,Series (Harry Potter #1),"A young boy discovers he's a wizard and attends a magical school, uncovering secrets about his past.","Fantasy, Adventure"
Harry Potter and the Chamber of Secrets,J.K. Rowling,1998,Series (Harry Potter #2),Harry returns to Hogwarts and faces new dangers as a mysterious chamber is opened.,"Fantasy, Adventure"
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,1999,Series (Harry Potter #3),Harry learns about a dangerous prisoner who has escaped and may be targeting him.,"Fantasy, Adventure"
Harry Potter and the Goblet of Fire,J.K. Rowling,2000,Series (Harry Potter #4),Harry competes in a magical tournament while dark forces gather strength.,"Fantasy, Adventure"
Harry Potter and the Order of the Phoenix,J.K. Rowling,2003,Series (Harry Potter #5),Harry faces challenges from the wizarding government and prepares for an impending war.,"Fantasy, Adventure"
Harry Potter and the Half-Blood Prince,J.K. Rowling,2005,Series (Harry Potter #6),Harry uncovers vital information about Voldemort's past as the wizarding world faces dark times.,"Fantasy, Adventure"
Harry Potter and the Deathly Hallows,J.K. Rowling,2007,Series (Harry Potter #7),Harry and his friends embark on a quest to defeat Voldemort once and for all.,"Fantasy, Adventure"
The Diary of a Young Girl,Anne Frank,1947,Standalone,"The real-life diary of Anne Frank, a Jewish girl hiding during World War II.","Memoir, Historical"
Little Women,Louisa May Alcott,1868,Series (Little Women #1),The lives and adventures of the four March sisters growing up during the Civil War era.,"Classic, Coming-of-Age"
Good Wives,Louisa May Alcott,1869,Series (Little Women #2),"Continuation of the March sisters' journeys into adulthood, love, and family life.","Classic, Coming-of-Age"
The Fault in Our Stars,John Green,2012,Standalone,Two teenagers with cancer embark on a journey to find a reclusive author and confront life's challenges.,"Contemporary, Romance"
Anne of Green Gables,L.M. Montgomery,1908,Series (Anne of Green Gables #1),An imaginative orphan girl finds a home with two siblings on Prince Edward Island.,"Classic, Coming-of-Age"
Anne of Avonlea,L.M. Montgomery,1909,Series (Anne of Green Gables #2),Anne becomes a schoolteacher and continues her adventures in Avonlea.,"Classic, Coming-of-Age"
Anne of the Island,L.M. Montgomery,1915,Series (Anne of Green Gables #3),Anne attends college and faces new experiences and relationships.,"Classic, Coming-of-Age"
Anne of Windy Poplars,L.M. Montgomery,1936,Series (Anne of Green Gables #4),Anne writes letters detailing her experiences as a principal in a new town.,"Classic, Coming-of-Age"
Anne's House of Dreams,L.M. Montgomery,1917,Series (Anne of Green Gables #5),"Anne marries and starts a new life in her ""house of dreams.""","Classic, Coming-of-Age"
Anne of Ingleside,L.M. Montgomery,1939,Series (Anne of Green Gables #6),Anne navigates motherhood and the challenges of raising a family.,"Classic, Coming-of-Age"
Rainbow Valley,L.M. Montgomery,1919,Series (Anne of Green Gables #7),The adventures of Anne's children and their friends in the village of Glen St. Mary.,"Classic, Coming-of-Age"
Rilla of Ingleside,L.M. Montgomery,1921,Series (Anne of Green Gables #8),"Anne's youngest daughter, Rilla, comes of age during World War I.","Classic, Coming-of-Age"
The Lightning Thief,Rick Riordan,2005,Series (Percy Jackson and the Olympians #1),A boy discovers he's a demigod and embarks on a quest to prevent a war among the gods.,"Fantasy, Mythology"
The Sea of Monsters,Rick Riordan,2006,Series (Percy Jackson and the Olympians #2),Percy and his friends journey to the Sea of Monsters to save their camp.,"Fantasy, Mythology"
The Titan's Curse,Rick Riordan,2007,Series (Percy Jackson and the Olympians #3),Percy faces new challenges as he tries to rescue a kidnapped goddess.,"Fantasy, Mythology"
The Battle of the Labyrinth,Rick Riordan,2008,Series (Percy Jackson and the Olympians #4),Percy navigates a dangerous labyrinth to stop an invasion.,"Fantasy, Mythology"
The Last Olympian,Rick Riordan,2009,Series (Percy Jackson and the Olympians #5),Percy leads his friends in a final battle to save Mount Olympus.,"Fantasy, Mythology"
City of Bones,Cassandra Clare,2007,Series (The Mortal Instruments #1),A teenager discovers she is part of a secret world of demon hunters.,"Urban Fantasy, Paranormal"
City of Ashes,Cassandra Clare,2008,Series (The Mortal Instruments #2),Clary continues to uncover secrets about her family and the Shadowhunter world.,"Urban Fantasy, Paranormal"
City of Glass,Cassandra Clare,2009,Series (The Mortal Instruments #3),Clary journeys to the Shadowhunter homeland to uncover the truth about her powers.,"Urban Fantasy, Paranormal"
City of Fallen Angels,Cassandra Clare,2011,Series (The Mortal Instruments #4),A mysterious threat emerges as Clary and her friends face new dangers.,"Urban Fantasy, Paranormal"
City of Lost Souls,Cassandra Clare,2012,Series (The Mortal Instruments #5),Clary must find a way to save Jace from a dark influence.,"Urban Fantasy, Paranormal"
City of Heavenly Fire,Cassandra Clare,2014,Series (The Mortal Instruments #6),The Shadowhunters face their greatest battle against an ancient enemy.,"Urban Fantasy, Paranormal"
Six of Crows,Leigh Bardugo,2015,Series (Six of Crows #1),A group of criminals attempts an impossible heist in a fantasy world.,"Fantasy, Heist"
Crooked Kingdom,Leigh Bardugo,2016,Series (Six of Crows #2),The crew faces betrayal and new challenges as they fight for survival.,"Fantasy, Heist"
The Cruel Prince,Holly Black,2018,Series (The Folk of the Air #1),A mortal girl is caught in the treacherous politics of the faerie court.,"Fantasy, Politics"
The Wicked King,Holly Black,2019,Series (The Folk of the Air #2),Jude must navigate dangerous alliances as she seeks power in the faerie world.,"Fantasy, Politics"
The Queen of Nothing,Holly Black,2020,Series (The Folk of the Air #3),Jude returns to the faerie realm to reclaim her stolen throne.,"Fantasy, Politics"
An Ember in the Ashes,Sabaa Tahir,2015,Series (An Ember in the Ashes #1),A girl spies for rebels in a brutal empire while a soldier questions his loyalty.,"Fantasy, Dystopian"
A Torch Against the Night,Sabaa Tahir,2016,Series (An Ember in the Ashes #2),Laia and Elias flee from the empire while facing new threats.,"Fantasy, Dystopian"
A Reaper at the Gates,Sabaa Tahir,2018,Series (An Ember in the Ashes #3),The fate of the empire hangs in the balance as war approaches.,"Fantasy, Dystopian"
A Sky Beyond the Storm,Sabaa Tahir,2020,Series (An Ember in the Ashes #4),The final battle for freedom unfolds in this thrilling conclusion.,"Fantasy, Dystopian"
